ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,SQUARE FEET,YEAR BUILT,LATITUDE,LONGITUDE,Electricity,Natural Gas,Propane,Diesel/Heating Oil,Wood/Pellet,Solar Heating,Heat Pump,Baseboard,Furnace,Boiler,Radiator,Radiant Floor
191 Weathervane,Slippery Rock Twp - But,PA,16057,,,,41.049004,-80.02987,false,false,false,false,false,false,false,false,false,false,false,false
110 Sassafras Dr,Slippery Rock Boro,PA,16057,,2296,2022,41.07404,-80.06401,false,false,false,false,false,false,false,false,false,false,false,false
00 Coaltown Rd,Cherry Twp,PA,16057,,1680,2022,41.05491,-79.96487,false,false,false,false,false,false,false,false,false,false,false,false
115 Sassafras Dr,Slippery Rock,PA,16057,55700,2595,2022,41.0748,-80.06375,false,false,false,false,false,false,false,false,false,false,false,false
153 Venango Trl,Slippery Rock,PA,16057,63500,2720,2022,41.041405,-80.00978,false,false,false,false,false,false,false,false,false,false,false,false
153 Miller Rd,Slippery Rock,PA,16057,60500,3328,2022,41.063663,-80.075775,false,false,false,false,false,false,false,false,false,false,false,false
9720 Grove Ct,Windham,OH,44288,249900,1720,2022,41.235863,-81.03921,false,true,true,false,false,false,false,false,false,false,false,false
12813 Greenbower St NE,Alliance,OH,44601,432500,1740,2022,40.974415,-81.15086,false,true,false,false,false,false,false,false,false,false,false,false
15232 Woodsong Dr,Middlefield,OH,44062,365000,1636,2022,41.453987,-81.09353,false,true,false,false,false,false,false,false,false,false,false,false
3056 Wayland Rd,Diamond,OH,44412,44000,2346,2022,41.07225,-81.06893,false,false,false,false,false,false,false,true,false,false,false,false
19520 Heisler Rd,North Benton,OH,44449,430000,1820,2022,40.970654,-81.025536,true,false,false,false,false,false,true,false,false,false,false,false
316 Nicklaus Ct,Liberty Twp,PA,16127,,,,41.13966,-80.1143,false,false,false,false,false,false,false,false,false,false,false,false
17702 Jersey St,Lake Milton,OH,44429,150000,,2022,41.10865,-80.98933,false,true,false,false,false,false,false,false,false,false,false,false
95 SE River Rd,Lake Milton,OH,44429,25100,1152,2022,41.093494,-80.97469,false,false,false,false,false,false,false,false,false,false,false,false
